"","State","Population","Popu18andUp","Popu18Pct","Code","Popu2016","PopuChg","PctChg"
"1","Alabama",4874747,3779274,0.775,"AL",4860545,14202,0.00292189456120661
"2","Alaska",739795,554867,0.75,"AK",741522,-1727,-0.00232899361043907
"3","Arizona",7016270,5382780,0.767,"AZ",6908642,107628,0.0155787490508265
"4","Arkansas",3004279,2298739,0.765,"AR",2988231,16048,0.00537040141809653
"5","California",39536653,30476517,0.771,"CA",39296476,240177,0.00611192209703486
"6","Colorado",5607154,4345321,0.775,"CO",5530105,77049,0.0139326468484776
"7","Connecticut",3588184,2844358,0.793,"CT",3587685,499,0.000139086904229329
"8","Delaware",961939,757455,0.787,"DE",952698,9241,0.00969982092961253
"9","District of Columbia",693972,569480,0.821,"DC",684336,9636,0.0140808024128498
"10","Florida",20984400,16782417,0.8,"FL",20656589,327811,0.0158695610393371
"11","Georgia",10429379,7914681,0.759,"GA",10313620,115759,0.0112238961683677
"12","Hawaii",1427538,1121794,0.786,"HI",1428683,-1145,-0.000801437407738456
"13","Idaho",1716943,1273151,0.742,"ID",1680026,36917,0.0219740646870941
"14","Illinois",12802023,9904838,0.774,"IL",12835726,-33703,-0.00262571824920538
"15","Indiana",6666818,5093409,0.764,"IN",6634007,32811,0.00494587961694945
"16","Iowa",3145711,2413764,0.767,"IA",3130869,14842,0.00474053689247298
"17","Kansas",2913123,2200585,0.755,"KS",2907731,5392,0.00185436685855741
"18","Kentucky",4454189,3443650,0.773,"KY",4436113,18076,0.00407473840274132
"19","Louisiana",4684333,3575930,0.763,"LA",4686157,-1824,-0.000389231517424619
"20","Maine",1335907,1083273,0.811,"ME",1330232,5675,0.00426617311867404
"21","Maryland",6052177,4704671,0.777,"MD",6024752,27425,0.00455205459079477
"22","Massachusetts",6859819,5489864,0.8,"MA",6823721,36098,0.00529007560537718
"23","Michigan",9962311,7785662,0.782,"MI",9933445,28866,0.00290594048691063
"24","Minnesota",5576606,4277949,0.767,"MN",5525050,51556,0.00933131826861295
"25","Mississippi",2984100,2270533,0.761,"MS",2985415,-1315,-0.000440474774863796
"26","Missouri",6113532,4730561,0.774,"MO",6091176,22356,0.00367022722705763
"27","Montana",1050493,821604,0.782,"MT",1038656,11837,0.0113964585002157
"28","Nebraska",1920076,1444343,0.752,"NE",1907603,12473,0.00653857222912734
"29","Nevada",2998039,2312576,0.771,"NV",2939254,58785,0.0199999727822094
"30","New Hampshire",1342795,1084022,0.807,"NH",1335015,7780,0.00582764987659315
"31","New Jersey",9005644,7026626,0.78,"NJ",8978416,27228,0.003032606196906
"32","New Mexico",2088070,1599980,0.766,"NM",2085432,2638,0.00126496572412814
"33","New York",19849399,15694902,0.791,"NY",19836286,13113,0.000661061249066483
"34","North Carolina",10273419,7971073,0.776,"NC",10156689,116730,0.0114929186076289
"35","North Dakota",755393,579621,0.767,"ND",755548,-155,-0.000205149110314633
"36","Ohio",11658609,9053374,0.777,"OH",11622554,36055,0.00310215809709295
"37","Oklahoma",3930864,2971579,0.756,"OK",3921207,9657,0.00246276210360738
"38","Oregon",4142776,3269157,0.789,"OR",4085989,56787,0.0138979816147327
"39","Pennsylvania",12805537,10141022,0.792,"PA",12787085,18452,0.00144301848310229
"40","Rhode Island",1059639,852307,0.804,"RI",1057566,2073,0.00196016135163196
"41","South Carolina",5024369,3919695,0.78,"SC",4959822,64547,0.0130139750982999
"42","South Dakota",869666,654810,0.753,"SD",861542,8124,0.00942960412841162
"43","Tennessee",6715984,5208482,0.776,"TN",6649404,66580,0.0100129274744022
"44","Texas",28304596,20938557,0.74,"TX",27904862,399734,0.0143248871827426
"45","Utah",3101833,2175134,0.701,"UT",3044321,57512,0.0188915689245648
"46","Vermont",623657,506832,0.813,"VT",623354,303,0.000486080140658438
"47","Virginia",8470020,6600844,0.779,"VA",8414380,55640,0.00661248957142416
"48","Washington",7405743,5759927,0.778,"WA",7280934,124809,0.0171418941580847
"49","West Virginia",1815857,1446139,0.796,"WV",1828637,-12780,-0.00698881188557379
"50","Wisconsin",5795483,4512839,0.779,"WI",5772917,22566,0.00390894239428698
"51","Wyoming",579315,442832,0.764,"WY",584910,-5595,-0.00956557419090116
